filename,width,height,class,xmin,ymin,xmax,ymax
Foto-Placa-463-_jpg.rf.3bcf1a5eee313dec384ed6eac1c2bcca.jpg,640,640,placa,224,386,257,399
Foto-Placa-463-_jpg.rf.3bcf1a5eee313dec384ed6eac1c2bcca.jpg,640,640,placa,269,99,285,107
Foto-Placa-463-_jpg.rf.3bcf1a5eee313dec384ed6eac1c2bcca.jpg,640,640,placa,521,193,540,202
2023-05-09-07-26-37-29956-1425520mp4_1425522_jpg.rf.f114628958119e7a5f300d3797448cc2.jpg,640,640,placa,322,164,389,219
27-de-abril-9_jpg.rf.8775093de7a3c51d555e0ec693dfec4c.jpg,640,640,placa,341,424,370,457
Foto-Placa-468-_jpg.rf.5e96fec26dfd6bdbcbaa6d344a531367.jpg,640,640,placa,539,467,574,482
Foto-Placa-468-_jpg.rf.5e96fec26dfd6bdbcbaa6d344a531367.jpg,640,640,placa,175,304,201,315
Foto-Placa-468-_jpg.rf.5e96fec26dfd6bdbcbaa6d344a531367.jpg,640,640,placa,163,160,180,168
2023-05-09-07-26-37-29956-1425520mp4_1425522_jpg.rf.7c5182f69bf823ef165138489149b38a.jpg,640,640,placa,365,408,429,460
334233surcojpg_jpg.rf.667020b8cc6734f2112c668889fe55a7.jpg,640,640,placa,358,318,406,379
322732_57793_jpg.rf.a9afc3f284711296dc9f00d792a69331.jpg,640,640,placa,234,228,287,275
322732_57793_jpg.rf.a9afc3f284711296dc9f00d792a69331.jpg,640,640,placa,500,291,527,315
Foto-Placa-149-_jpg.rf.0ad667b1dbda60c6646e54c9ae4730ff.jpg,640,640,placa,245,68,267,76
Foto-Placa-10-_jpg.rf.d70829d0b83b5d70b9c35a5ae9e20e54.jpg,640,640,placa,428,290,443,297
Foto-Placa-10-_jpg.rf.d70829d0b83b5d70b9c35a5ae9e20e54.jpg,640,640,placa,82,386,92,390
Foto-Placa-47-_jpg.rf.8102f433ed2dba6a9241d3ac1b9e0866.jpg,640,640,placa,284,73,312,86
Foto-Placa-500-_jpg.rf.f93b5707e61ff9133cdea20dd3e2a8d0.jpg,640,640,placa,163,498,174,502
Foto-Placa-500-_jpg.rf.f93b5707e61ff9133cdea20dd3e2a8d0.jpg,640,640,placa,433,250,460,260
Foto-Placa-500-_jpg.rf.f93b5707e61ff9133cdea20dd3e2a8d0.jpg,640,640,placa,355,479,367,484
Foto-Placa-500-_jpg.rf.f93b5707e61ff9133cdea20dd3e2a8d0.jpg,640,640,placa,448,386,468,394
Foto-Placa-500-_jpg.rf.f93b5707e61ff9133cdea20dd3e2a8d0.jpg,640,640,placa,133,259,163,270
Foto-Placa-499-_jpg.rf.a1e1648d216bc71ab8fe12e2c128554c.jpg,640,640,placa,260,411,276,421
Foto-Placa-499-_jpg.rf.a1e1648d216bc71ab8fe12e2c128554c.jpg,640,640,placa,495,484,513,496
Foto-Placa-499-_jpg.rf.a1e1648d216bc71ab8fe12e2c128554c.jpg,640,640,placa,169,195,199,214
Foto-Placa-170-_jpg.rf.22da73ece9c6f703d676a16f7baf6c65.jpg,640,640,placa,373,481,420,500
Foto-Placa-10-_jpg.rf.2585239750309b1f675a231309d6da9a.jpg,640,640,placa,435,319,450,327
Foto-Placa-10-_jpg.rf.2585239750309b1f675a231309d6da9a.jpg,640,640,placa,69,314,80,321
405693257_852236380245064_2235808014761650483_n_jpg.rf.c19ee5a528b4909804277126e156e1af.jpg,640,640,placa,331,331,421,368
Foto-Placa-16-_jpg.rf.7adc00807490a81b64671d37d6fcc0e6.jpg,640,640,placa,375,51,393,57
Foto-Placa-16-_jpg.rf.7adc00807490a81b64671d37d6fcc0e6.jpg,640,640,placa,210,50,229,57
Foto-Placa-16-_jpg.rf.7adc00807490a81b64671d37d6fcc0e6.jpg,640,640,placa,27,97,48,105
Foto-Placa-16-_jpg.rf.7adc00807490a81b64671d37d6fcc0e6.jpg,640,640,placa,160,304,194,317
Foto-Placa-16-_jpg.rf.7adc00807490a81b64671d37d6fcc0e6.jpg,640,640,placa,586,482,632,499
44IDOSCYKVCLNCZMY7VHJTAUCE_jpeg.rf.5abef5f063a27e631e7aeb686ad96ddb.jpg,640,640,placa,193,522,267,582
143910050_s-1-_jpg.rf.57bfa4e6e68d23b03af1a7ba610215d5.jpg,640,640,placa,225,404,294,455
143910050_s-1-_jpg.rf.57bfa4e6e68d23b03af1a7ba610215d5.jpg,640,640,placa,51,472,83,499
Foto-Placa-470-_jpg.rf.25b31b5dc21f0746331d407313a3abd3.jpg,640,640,placa,463,388,494,401
Foto-Placa-470-_jpg.rf.25b31b5dc21f0746331d407313a3abd3.jpg,640,640,placa,147,347,175,358
Foto-Placa-470-_jpg.rf.25b31b5dc21f0746331d407313a3abd3.jpg,640,640,placa,177,120,192,126
Foto-Placa-470-_jpg.rf.25b31b5dc21f0746331d407313a3abd3.jpg,640,640,placa,340,116,352,122
Foto-Placa-470-_jpg.rf.25b31b5dc21f0746331d407313a3abd3.jpg,640,640,placa,231,86,241,91
Foto-Placa-141-_jpg.rf.664a0a175b7b837dd66bf954438fa57d.jpg,640,640,placa,51,170,84,182
Foto-Placa-472-_jpg.rf.8c19a6f081ff76fc7d8b56682f0d20fd.jpg,640,640,placa,375,194,393,202
Foto-Placa-472-_jpg.rf.8c19a6f081ff76fc7d8b56682f0d20fd.jpg,640,640,placa,168,275,193,286
Foto-Placa-472-_jpg.rf.8c19a6f081ff76fc7d8b56682f0d20fd.jpg,640,640,placa,541,395,572,409
Foto-Placa-472-_jpg.rf.8c19a6f081ff76fc7d8b56682f0d20fd.jpg,640,640,placa,93,459,131,473
345923160_206658102178877_3194393537085474595_n_jpg.rf.a5af1d21e189742c713d5fb26f53fad1.jpg,640,640,placa,414,216,444,250
214104dsc-0026jpg_jpg.rf.0b1e9c4f5965cc9eff1b036d092d381b.jpg,640,640,placa,379,13,450,84
214104dsc-0026jpg_jpg.rf.0b1e9c4f5965cc9eff1b036d092d381b.jpg,640,640,placa,539,297,566,322
1430557_jpg.rf.e9d9dedcd3bc62fb1a3dbf1147212dab.jpg,640,640,placa,221,390,299,476
20231009_192943_jpg.rf.1f349fcbc0246ec22158bde6706b6d0a.jpg,640,640,placa,463,235,542,285
20231009_193038_jpg.rf.739064b097e3188d9678bfc67142b473.jpg,640,640,placa,521,326,544,343
20231009_193038_jpg.rf.739064b097e3188d9678bfc67142b473.jpg,640,640,placa,359,306,383,324
Foto-Placa-473-_jpg.rf.2d4e068cb6c84015ee45e192e42697f2.jpg,640,640,placa,108,390,141,402
Foto-Placa-473-_jpg.rf.2d4e068cb6c84015ee45e192e42697f2.jpg,640,640,placa,363,387,396,402
Foto-Placa-473-_jpg.rf.2d4e068cb6c84015ee45e192e42697f2.jpg,640,640,placa,170,255,193,266
Foto-Placa-473-_jpg.rf.2d4e068cb6c84015ee45e192e42697f2.jpg,640,640,placa,510,274,534,284
Foto-Placa-473-_jpg.rf.2d4e068cb6c84015ee45e192e42697f2.jpg,640,640,placa,356,161,373,168
20231009_192753_jpg.rf.0cf615d670ab8653cff28151556a0414.jpg,640,640,placa,42,337,65,353
20231009_192753_jpg.rf.0cf615d670ab8653cff28151556a0414.jpg,640,640,placa,395,314,416,328
20231009_192753_jpg.rf.0cf615d670ab8653cff28151556a0414.jpg,640,640,placa,570,307,590,319
20231009_192919_jpg.rf.f60f4c3de0cdbcdf865bdff509356d56.jpg,640,640,placa,320,235,400,299
Foto-Placa-15-_jpg.rf.4bf0b1275c2947807e39591839f2cd5d.jpg,640,640,placa,176,4,192,11
Foto-Placa-15-_jpg.rf.4bf0b1275c2947807e39591839f2cd5d.jpg,640,640,placa,343,26,360,33
Foto-Placa-15-_jpg.rf.4bf0b1275c2947807e39591839f2cd5d.jpg,640,640,placa,204,363,243,378
481448_530600_jpg.rf.b9344e91686889d656b1a8e4d8407ce6.jpg,640,640,placa,115,90,191,163
Foto-Placa-194-_jpg.rf.7487874cfb2514c76c06dbae957b61ae.jpg,640,640,placa,586,200,634,221
Foto-Placa-194-_jpg.rf.7487874cfb2514c76c06dbae957b61ae.jpg,640,640,placa,296,481,325,496
1be42486b669cf3f7b8a4bbc89f2b776_jpg.rf.4bbf3c485ac23b4ca859117cd0181ade.jpg,640,640,placa,244,95,289,120
20231009_193043_jpg.rf.35808f389fd8a06bd5cfdd9063be1335.jpg,640,640,placa,98,113,174,165
20231009_193043_jpg.rf.35808f389fd8a06bd5cfdd9063be1335.jpg,640,640,placa,555,115,607,152
Foto-Placa-519-_jpg.rf.aaaa06ac91a90681da1259a202c04455.jpg,640,640,placa,441,406,456,415
27-de-abril-9_jpg.rf.b459c8c2c262e041063c397d6e5349f7.jpg,640,640,placa,237,394,272,431
Foto-Placa-135-_jpg.rf.ba1fac94592925370f00070ddaf540d1.jpg,640,640,placa,404,111,432,122
235756971_3035852970029145_5279381912175434663_n_jpg.rf.de85fed6d81f8dba4886a152c176eca0.jpg,640,640,placa,242,557,382,617
20231009_193114_jpg.rf.1c45d58e6721631dda431ea2386f93aa.jpg,640,640,placa,231,325,310,385
Foto-Placa-138-_jpg.rf.565114b4e57f6c838cad7729ddbd323d.jpg,640,640,placa,233,282,272,296
Foto-Placa-138-_jpg.rf.565114b4e57f6c838cad7729ddbd323d.jpg,640,640,placa,253,58,278,69
511651_142422_jpg.rf.d022b6589c63ac05e8b3c5568f36adba.jpg,640,640,placa,397,62,459,117
Foto-Placa-522-_jpg.rf.e33187c5305d8547a6e25bb05f10888d.jpg,640,640,placa,274,162,290,169
20231009_193022_jpg.rf.e812b14daf0ba09568df1f64e0a8e3ca.jpg,640,640,placa,291,359,329,385
20231009_193022_jpg.rf.e812b14daf0ba09568df1f64e0a8e3ca.jpg,640,640,placa,75,448,106,468
Foto-Placa-154-_jpg.rf.f9d5e6c626b360b45a7274b4b92c0db4.jpg,640,640,placa,190,115,216,125
20231009_192839_jpg.rf.6be4b3be3cf841171794dbeddfdbf064.jpg,640,640,placa,102,237,213,330
Foto-Placa-151-_jpg.rf.da2db7f30484a41a4c0035672302dc85.jpg,640,640,placa,494,178,522,189
Foto-Placa-151-_jpg.rf.da2db7f30484a41a4c0035672302dc85.jpg,640,640,placa,276,30,294,37
Foto-Placa-171-_jpg.rf.86e831d9fe3df91917b267df0df08968.jpg,640,640,placa,280,148,325,174
Foto-Placa-171-_jpg.rf.86e831d9fe3df91917b267df0df08968.jpg,640,640,placa,120,472,145,486
Foto-Placa-193-_jpg.rf.db9ffc303dd04f319eb6c2c0b8cc2ce8.jpg,640,640,placa,356,161,387,176
Foto-Placa-193-_jpg.rf.db9ffc303dd04f319eb6c2c0b8cc2ce8.jpg,640,640,placa,566,130,595,144
Foto-Placa-193-_jpg.rf.db9ffc303dd04f319eb6c2c0b8cc2ce8.jpg,640,640,placa,0,549,34,561
Foto-Placa-17-_jpg.rf.b27e0c21ee8f012ddd2aa426d54e16d2.jpg,640,640,placa,365,205,393,218
Foto-Placa-17-_jpg.rf.b27e0c21ee8f012ddd2aa426d54e16d2.jpg,640,640,placa,253,16,270,24
Foto-Placa-17-_jpg.rf.b27e0c21ee8f012ddd2aa426d54e16d2.jpg,640,640,placa,44,268,80,284
26984707-lima-peru-16-de-marzo-2012-de-taxi-amarillo-que-se-coloca-en-el-malecon-de-la-reserva-en-larcomar_jpg.rf.e0d7d2499d0dd72afc94101bfcf6595e.jpg,640,640,placa,451,130,532,194
Foto-Placa-186-_jpg.rf.a03b2d0558058cc22dc4b0d2635de017.jpg,640,640,placa,491,308,518,319
Foto-Placa-186-_jpg.rf.a03b2d0558058cc22dc4b0d2635de017.jpg,640,640,placa,31,319,56,330
Foto-Placa-186-_jpg.rf.a03b2d0558058cc22dc4b0d2635de017.jpg,640,640,placa,276,537,289,543
Foto-Placa-186-_jpg.rf.a03b2d0558058cc22dc4b0d2635de017.jpg,640,640,placa,380,582,392,588
Foto-Placa-186-_jpg.rf.a03b2d0558058cc22dc4b0d2635de017.jpg,640,640,placa,271,604,281,609
20231009_192913_jpg.rf.0c6c48cb44d69be10bd504ea203f1322.jpg,640,640,placa,437,236,510,286
Foto-Placa-19-_jpg.rf.ccb3aa7a2b2c39abb0e4ad222b24ef13.jpg,640,640,placa,262,322,304,343
Foto-Placa-19-_jpg.rf.ccb3aa7a2b2c39abb0e4ad222b24ef13.jpg,640,640,placa,597,36,617,45
20231009_193022_jpg.rf.12094879c24deeeaff89a934dd8750b1.jpg,640,640,placa,274,251,307,277
20231009_193022_jpg.rf.12094879c24deeeaff89a934dd8750b1.jpg,640,640,placa,39,218,67,240
20231009_192932_jpg.rf.9d86e5bd34b0d024d6917cf4702c49ee.jpg,640,640,placa,423,229,502,289
20231009_192932_jpg.rf.9d86e5bd34b0d024d6917cf4702c49ee.jpg,640,640,placa,28,194,73,237
Foto-Placa-148-_jpg.rf.ac8ce74de0add8b8fe2b61b16db5e846.jpg,640,640,placa,536,140,562,149
334233surcojpg_jpg.rf.97899447ca95a69706bea1b58c8b7d20.jpg,640,640,placa,235,279,285,344
Foto-Placa-156-_jpg.rf.9127262cb557e2b0203ccec4474215b4.jpg,640,640,placa,146,262,163,269
Foto-Placa-156-_jpg.rf.9127262cb557e2b0203ccec4474215b4.jpg,640,640,placa,400,280,418,286
Foto-Placa-157-_jpg.rf.edcba0e9b28350a7c6f3219278137ddb.jpg,640,640,placa,389,316,409,324
Foto-Placa-157-_jpg.rf.edcba0e9b28350a7c6f3219278137ddb.jpg,640,640,placa,177,337,199,347
Foto-Placa-157-_jpg.rf.edcba0e9b28350a7c6f3219278137ddb.jpg,640,640,placa,126,207,139,212
25309b30-5657-11ee-9210-f7c57cc6fb16_png.rf.64f281d59c04f7288a77fedf1ff3ec73.jpg,640,640,placa,465,0,529,36
Foto-Placa-17-_jpg.rf.2ce42dfdef3f61ec28fe92df5ceb84ba.jpg,640,640,placa,256,197,283,208
Foto-Placa-17-_jpg.rf.2ce42dfdef3f61ec28fe92df5ceb84ba.jpg,640,640,placa,389,26,406,33
Foto-Placa-17-_jpg.rf.2ce42dfdef3f61ec28fe92df5ceb84ba.jpg,640,640,placa,550,285,584,297
44IDOSCYKVCLNCZMY7VHJTAUCE_jpeg.rf.5ee9d1008bab8c331b4732f48cc20af9.jpg,640,640,placa,393,470,458,539
Foto-Placa-202-_jpg.rf.8004a096df9cef990e741cf443f71fd6.jpg,640,640,placa,273,380,320,400
Foto-Placa-189-_jpg.rf.10734848963c25ffd2254321c9952aec.jpg,640,640,placa,369,289,403,303
Foto-Placa-189-_jpg.rf.10734848963c25ffd2254321c9952aec.jpg,640,640,placa,598,189,623,200
Foto-Placa-195-_jpg.rf.3d394dc8be128374863fc88ee6d607cc.jpg,640,640,placa,348,315,387,331
Foto-Placa-195-_jpg.rf.3d394dc8be128374863fc88ee6d607cc.jpg,640,640,placa,433,531,459,542
Foto-Placa-195-_jpg.rf.3d394dc8be128374863fc88ee6d607cc.jpg,640,640,placa,258,623,278,633
20231009_193031_jpg.rf.51e715640c6639e5bada7fcd08a73653.jpg,640,640,placa,154,238,182,259
20231009_193031_jpg.rf.51e715640c6639e5bada7fcd08a73653.jpg,640,640,placa,337,295,366,317
20231009_193031_jpg.rf.51e715640c6639e5bada7fcd08a73653.jpg,640,640,placa,579,348,611,371
21a8ea62ecc6da2937e8c840e338c71d_jpg.rf.e2a8f086fd6159628753a7640ca462fe.jpg,640,640,placa,325,82,369,111
515351_955516_jpg.rf.195dc2af34cc0e270f513744edb2928b.jpg,640,640,placa,405,470,472,527
Foto-Placa-192-_jpg.rf.71b7dada0e71b3da1e738baeaa3280a3.jpg,640,640,placa,51,362,92,377
Foto-Placa-192-_jpg.rf.71b7dada0e71b3da1e738baeaa3280a3.jpg,640,640,placa,538,202,570,218
Foto-Placa-192-_jpg.rf.71b7dada0e71b3da1e738baeaa3280a3.jpg,640,640,placa,462,31,486,43
20231009_192932_jpg.rf.cf18be9adee08cd1839901019010fd34.jpg,640,640,placa,433,256,505,311
20231009_192932_jpg.rf.cf18be9adee08cd1839901019010fd34.jpg,640,640,placa,69,230,110,269
44842616_950376728496677_6999899465221931008_n_jpg.rf.447ccf0c6ef0d8c578a671f754c32f50.jpg,640,640,placa,362,141,415,176
20231009_193124_jpg.rf.2cea675d701598fcddfac639b55bbea2.jpg,640,640,placa,526,370,598,437
20231009_193124_jpg.rf.2cea675d701598fcddfac639b55bbea2.jpg,640,640,placa,185,212,228,255
Foto-Placa-187-_jpg.rf.15fa969a20d973f45def00df80385d57.jpg,640,640,placa,262,170,298,188
Foto-Placa-187-_jpg.rf.15fa969a20d973f45def00df80385d57.jpg,640,640,placa,498,406,526,421
Foto-Placa-187-_jpg.rf.15fa969a20d973f45def00df80385d57.jpg,640,640,placa,239,426,262,437
Foto-Placa-187-_jpg.rf.15fa969a20d973f45def00df80385d57.jpg,640,640,placa,237,605,247,611
Foto-Placa-190-_jpg.rf.3c1f1540235722fb2703a4e1c7014a57.jpg,640,640,placa,601,260,635,273
5da3b9ecec2b5125cca3856e6d864b06_jpg.rf.73095ceddc5e41a7315ddc64fe8a590a.jpg,640,640,placa,263,91,320,124
Foto-Placa-162-_jpg.rf.60968697b6cac9c444a8585cbe9a3741.jpg,640,640,placa,364,212,382,220
23622300_1967308553494017_1118027869005074957_n_jpg.rf.ba47154c5c3db9405d0ed06504970fc7.jpg,640,640,placa,355,466,409,520
Foto-Placa-170-_jpg.rf.6e8294a5253e5d86db9e8b439a860c3e.jpg,640,640,placa,432,146,481,172
Foto-Placa-191-_jpg.rf.65d154b6397c4631d126d3f169cd0896.jpg,640,640,placa,512,337,552,356
Foto-Placa-191-_jpg.rf.65d154b6397c4631d126d3f169cd0896.jpg,640,640,placa,111,139,139,149
57DH75QPUVC47PVHNNDXQCVJMA_png.rf.53edcf970233fb9bef4273b4f44c4ede.jpg,640,640,placa,265,48,322,103
57DH75QPUVC47PVHNNDXQCVJMA_png.rf.53edcf970233fb9bef4273b4f44c4ede.jpg,640,640,placa,79,79,120,115
Foto-Placa-185-_jpg.rf.1588d765029ce6769fc45c1673e65d5a.jpg,640,640,placa,200,332,234,350
Foto-Placa-194-_jpg.rf.54f5969a0bcc37863c6ddc259e1e50aa.jpg,640,640,placa,569,120,621,143
Foto-Placa-194-_jpg.rf.54f5969a0bcc37863c6ddc259e1e50aa.jpg,640,640,placa,349,483,378,495
Foto-Placa-198-_jpg.rf.89f42d5ebeb25d816a8af0449e1eb7c7.jpg,640,640,placa,253,369,296,390
Foto-Placa-198-_jpg.rf.89f42d5ebeb25d816a8af0449e1eb7c7.jpg,640,640,placa,609,78,633,91
481448_530600_jpg.rf.4ea7bcfa8b51f68944c6bd7662c76f30.jpg,640,640,placa,524,373,583,469
Foto-Placa-197-_jpg.rf.5579fc664861f6c5cb34bba40bcb4666.jpg,640,640,placa,196,335,235,355
52388664673_db4797cb1a_k_jpg.rf.f4773b32fcb70c28dcc4fcb504af04c3.jpg,640,640,placa,404,491,458,552
Foto-Placa-203-_jpg.rf.e819f4af5483e524c80708271fe22738.jpg,640,640,placa,111,307,156,325
Foto-Placa-203-_jpg.rf.e819f4af5483e524c80708271fe22738.jpg,640,640,placa,599,217,635,231
Foto-Placa-147-_jpg.rf.f1cee1ed215d84bdcd3c4ded1463ef87.jpg,640,640,placa,539,405,578,420
161216_1179807_jpg.rf.117d4796f083ab477c4cc04111ddc0e2.jpg,640,640,placa,104,527,165,577
Foto-Placa-170-_jpg.rf.bcd288e4f650571b98933ae7944b1a76.jpg,640,640,placa,388,468,433,486
20231009_192943_jpg.rf.46b152feb553ee5b1a2a6fd91d1558ed.jpg,640,640,placa,94,291,184,359
Foto-Placa-10-_jpg.rf.ccecb32d2a37326edfdeb22f0e85053e.jpg,640,640,placa,215,320,228,326
Foto-Placa-10-_jpg.rf.ccecb32d2a37326edfdeb22f0e85053e.jpg,640,640,placa,540,246,549,250
Foto-Placa-196-_jpg.rf.e9dad54598275827ae6c6ae56f50e2ff.jpg,640,640,placa,300,302,339,324
Foto-Placa-196-_jpg.rf.e9dad54598275827ae6c6ae56f50e2ff.jpg,640,640,placa,76,531,108,548
Foto-Placa-196-_jpg.rf.e9dad54598275827ae6c6ae56f50e2ff.jpg,640,640,placa,339,629,363,640
Foto-Placa-171-_jpg.rf.3b4c40ff888b47274f1e0aabf90a009a.jpg,640,640,placa,356,429,403,451
Foto-Placa-171-_jpg.rf.3b4c40ff888b47274f1e0aabf90a009a.jpg,640,640,placa,380,77,404,92
Foto-Placa-200-_jpg.rf.d12709bf468b47b343a77bf1a59dfc69.jpg,640,640,placa,616,359,640,376
Foto-Placa-211-_jpg.rf.ff80a312fb6f9ff3f51fa84c24c22dd0.jpg,640,640,placa,194,288,226,300
Foto-Placa-211-_jpg.rf.ff80a312fb6f9ff3f51fa84c24c22dd0.jpg,640,640,placa,345,569,360,575
44842616_950376728496677_6999899465221931008_n_jpg.rf.922e15570039c542701f182179356ca4.jpg,640,640,placa,352,468,404,502
